,0,1
0,heck why not ,ham
1,love ,ham
2,only days until The touring Adelaide ,spam
3,issuing our call for the next week the look out for that post ,ham
4,hour day today dent this week load week should back normal hope ,spam
5,did not check for improper connection before the bot auto tweet ,ham
6,feel totally lost inform you find somewhere ,ham
7,say this again not consultant was have and work for and charge have and bargain ,ham
8,medical license ,spam
9,you lot but they should give you number for the nurse and call for any reason ,ham
10,bit ,spam
11,that box away from the baby please like got first that ideogram ,ham
12,chocolate ,ham
13,India Red goo ,spam
14,tell how you really feel must have been excruciating ,ham
15,for Job For ,spam
16,The police have writing wise but course another unnecessary demand time ,ham
17,establish true self esteem must concentrate our and forget about the and the our ,spam
18,cousin Duncan play great football game tonight ,ham
19,Ned was iconic driver better man ,spam
20,whilst order the and will arrive tomorrow can wait ,ham
21,pretty sure was rock last night and they the building ,ham
22,that just ,ham
23,second winter coat this year one her post ,ham
24,practically this chilly sore throat day ,ham
25,for ,ham
26,been through way too many airport handy but wish they were built last ,ham
27,different now Amazon top bit ,ham
28,glad hanging out with you daughter beautiful need get together soon ,spam
29,need sound person tomorrow event apply ,spam
30,van het kan ,spam
31,bit influential are you twitter out twitter according ,spam
32,bit ,spam
33,erg ,spam
34,have listen discuss might good primer ,ham
35,for tonight James May fest which track round the entire length ,ham
36,because all the major are currently the into their ,ham
37,one more time ,ham
38,School alma mater ,spam
39,squid ,spam
40,you enjoy ,spam
41,The The Jamie The bit ,spam
42,fake mustache his and getting ready for the weekend ,ham
43,bit ,spam
44,inappropriate best housewarming gift ever bit ,spam
45,with radar trap detector collaborative intelligence update you speed traps live bit ,spam
46,Page were sent someone splash page was Will have wait for post about next week ,spam
47,the crowd return game remember watching late into the night ,spam
48,available ,ham
49,become the fashion complain about ,ham
50,choose vegetarian diet The non meat food soy milk and tofu The ,spam
51,link het bit ,ham
52,the bottle top flavored milk drink ,spam
53,designing trip down memory lane table based layout where copy killer ,ham
54,Cuban ,spam
55,ready for gymnastics post ,ham
56,review like the touch don miss the scroll nubbin wish had button superb ,ham
57,antes gripe ,ham
58,someone please explain why high fructose corn syrup needs everything eat and drink ,ham
59,post bit ,spam
60,always great time your guide whenever you want Santa Barbara ,spam
61,The ,spam
62,love when get taken over awesome credit card now chase got and credit limit ,ham
63,streaming with come join ,spam
64,got invite ,ham
65,Alex are now can subscribe through via the link below you bit ,spam
